docid,year,num_reviews,FUEL,INTERIOR,EXTERIOR,BUILD,PERFORMANCE,COMFORT,RELIABILITY,FUN,overall_rating
2007_acura_mdx,2007,169,7.43,9.18,8.95,9.11,9.11,9.16,9.29,9.07,8.91
2007_acura_rdx,2007,164,6.52,9.30,8.99,9.24,9.24,9.02,9.36,9.38,8.88
2007_acura_rl,2007,22,7.77,9.86,9.64,9.86,9.18,9.59,9.64,9.41,9.37
2007_acura_tl,2007,151,8.01,9.25,9.42,8.87,9.03,9.15,9.36,9.23,9.04
2007_acura_tsx,2007,56,8.25,9.50,9.09,9.50,9.09,9.30,9.66,9.38,9.22
2007_audi_a3,2007,40,8.18,9.10,9.33,8.73,9.28,8.68,8.70,9.48,8.93
2007_audi_a4,2007,94,8.47,9.15,9.24,9.02,8.79,8.78,8.79,9.15,8.92
2007_audi_a6,2007,20,8.25,9.55,9.65,9.10,9.30,9.30,9.15,9.20,9.19
2007_audi_a8,2007,18,9.11,9.94,9.83,10.00,9.72,10.00,9.94,9.78,9.79
2007_audi_q7,2007,72,6.40,8.69,9.13,8.19,8.74,9.10,8.10,8.85,8.40
2007_audi_rs4,2007,26,8.12,9.96,9.96,9.54,9.88,9.81,9.38,9.96,9.58
2007_audi_s8,2007,14,6.86,9.00,9.57,9.36,9.14,9.50,9.57,8.86,8.98
2007_bmw_3_series,2007,265,8.13,9.00,9.46,9.08,9.31,9.03,8.81,9.49,9.04
2007_bmw_5_series,2007,91,8.65,9.24,9.64,9.66,9.47,9.65,9.38,9.75,9.43
2007_bmw_6_series,2007,17,6.47,8.76,9.41,8.82,8.59,8.88,8.71,8.53,8.52
2007_bmw_x3,2007,76,7.62,8.62,9.25,9.03,8.66,8.66,8.78,8.93,8.69
2007_bmw_x5,2007,44,6.68,8.57,9.16,8.02,8.45,8.39,7.77,8.43,8.18
2007_bmw_z4,2007,22,8.95,8.45,9.73,9.27,9.18,7.95,9.77,9.23,9.07
2007_buick_lacrosse,2007,31,6.94,8.35,8.81,8.71,8.65,9.00,8.94,8.45,8.48
2007_buick_lucerne,2007,87,7.45,8.61,8.78,8.76,8.66,8.70,9.05,8.45,8.56
2007_buick_rainier,2007,14,7.50,8.93,9.07,9.50,9.36,9.36,9.57,9.00,9.04
2007_buick_rendezvous,2007,39,7.72,8.49,8.67,8.72,8.28,8.87,8.79,8.38,8.49
2007_cadillac_cts,2007,38,7.79,8.18,9.11,8.84,8.61,8.63,9.13,8.92,8.65
2007_cadillac_dts,2007,20,7.00,8.00,8.75,8.20,8.85,8.80,8.90,8.05,8.32
2007_cadillac_escalade,2007,75,5.95,8.71,9.48,8.27,9.09,8.91,8.60,8.81,8.48
2007_cadillac_escalade_esv,2007,22,6.68,8.18,8.73,8.05,9.55,8.73,8.77,8.68,8.42
2007_cadillac_escalade_ext,2007,17,6.41,8.88,9.00,9.00,9.53,9.41,9.24,9.35,8.85
2007_cadillac_srx,2007,34,6.03,9.15,9.15,8.56,8.88,8.94,8.82,8.76,8.54
2007_cadillac_sts,2007,22,8.00,8.95,9.50,8.77,9.32,9.27,8.45,9.32,8.95
2007_chevrolet_avalanche,2007,95,7.23,9.32,9.51,9.03,9.03,9.55,9.19,9.22,9.01
2007_chevrolet_aveo,2007,77,7.92,7.94,8.35,7.95,7.62,7.84,8.34,8.10,8.01
2007_chevrolet_cobalt,2007,132,8.45,8.25,8.93,8.08,8.42,8.39,8.70,8.85,8.51
2007_chevrolet_colorado,2007,45,6.76,7.13,8.44,7.58,7.78,7.62,7.71,7.93,7.62
2007_chevrolet_corvette,2007,85,8.75,8.58,9.75,8.64,9.76,8.91,9.24,9.81,9.18
2007_chevrolet_equinox,2007,75,7.81,8.21,8.96,8.45,8.88,8.88,9.03,9.00,8.65
2007_chevrolet_hhr,2007,120,9.08,8.45,9.30,8.62,8.60,8.91,9.18,9.36,8.94
2007_chevrolet_impala,2007,154,7.80,8.19,8.75,8.06,8.69,8.51,8.36,8.49,8.36
2007_chevrolet_malibu,2007,37,8.54,8.19,8.54,8.19,8.57,8.59,8.70,8.38,8.46
2007_chevrolet_malibu_maxx,2007,14,7.14,7.79,8.43,7.57,8.43,8.57,8.14,8.36,8.05
2007_chevrolet_monte_carlo,2007,24,7.96,9.17,9.75,9.08,9.25,9.25,9.13,9.54,9.14
2007_chevrolet_silverado_1500,2007,141,7.17,8.84,9.10,8.76,8.79,9.07,8.89,9.04,8.71
2007_chevrolet_silverado_1500_classic,2007,54,7.52,7.80,8.81,7.74,8.70,8.59,8.43,8.43,8.25
2007_chevrolet_silverado_2500hd,2007,19,6.47,8.11,8.63,8.21,8.63,8.84,8.58,8.63,8.26
2007_chevrolet_silverado_2500hd_classic,2007,11,6.36,9.18,8.73,9.00,9.82,9.45,9.82,9.73,9.01
2007_chevrolet_suburban,2007,70,6.39,8.44,8.96,8.27,8.46,9.13,8.31,8.40,8.29
2007_chevrolet_tahoe,2007,201,6.96,8.82,9.24,8.43,8.97,9.25,8.60,8.95,8.65
2007_chevrolet_trailblazer,2007,62,6.63,8.66,9.24,8.90,9.26,9.27,9.29,9.34,8.82
2007_chevrolet_uplander,2007,31,6.65,6.87,7.87,5.87,6.94,7.42,6.32,7.16,6.89
2007_chrysler_300,2007,62,7.29,8.60,9.31,8.61,8.87,9.03,8.84,8.94,8.69
2007_chrysler_aspen,2007,49,7.00,9.51,9.49,9.10,9.53,9.31,9.37,9.53,9.10
2007_chrysler_crossfire,2007,14,7.64,8.07,9.86,9.36,9.00,8.21,9.29,9.71,8.89
2007_chrysler_pacifica,2007,98,7.58,9.02,9.15,8.43,8.90,9.46,8.58,9.08,8.78
2007_chrysler_pt_cruiser,2007,43,5.40,7.86,8.84,8.21,7.21,7.79,7.93,8.37,7.70
2007_chrysler_sebring,2007,55,8.20,7.89,8.93,7.40,7.42,7.56,7.60,7.95,7.87
2007_chrysler_town_and_country,2007,39,6.67,7.56,8.26,7.38,7.28,7.67,7.59,6.62,7.38
2007_dodge_caliber,2007,310,8.05,8.23,8.91,7.85,7.69,8.31,8.32,8.45,8.23
2007_dodge_caravan,2007,21,7.57,8.19,8.10,7.52,7.67,8.14,8.10,7.29,7.82
2007_dodge_charger,2007,73,7.23,8.45,9.56,8.95,9.42,9.45,9.33,9.64,9.01
2007_dodge_durango,2007,28,5.50,7.50,8.25,7.36,7.93,8.39,7.86,7.89,7.58
2007_dodge_grand_caravan,2007,30,6.83,8.07,8.20,7.47,7.43,8.27,7.47,6.80,7.57
2007_dodge_magnum,2007,21,7.67,8.10,9.24,8.90,8.62,8.90,9.10,9.43,8.74
2007_dodge_nitro,2007,141,6.48,7.87,9.08,7.25,7.47,8.11,7.38,8.17,7.73
2007_dodge_ram_pickup_1500,2007,69,6.42,9.03,9.46,8.80,9.22,8.87,9.17,9.29,8.78
2007_dodge_ram_pickup_2500,2007,34,7.47,7.74,8.56,7.59,8.94,7.94,7.88,8.82,8.12
2007_dodge_ram_pickup_3500,2007,14,7.07,8.00,9.14,8.43,8.43,8.64,7.86,8.36,8.24
2007_ford_edge,2007,161,7.42,8.54,9.39,8.73,8.88,9.19,8.93,9.02,8.76
2007_ford_escape,2007,42,8.10,8.36,9.02,9.00,8.71,8.93,9.17,9.21,8.81
2007_ford_escape_hybrid,2007,46,8.91,8.26,9.11,9.09,9.04,8.78,9.39,9.11,8.96
2007_ford_expedition,2007,42,7.29,9.14,9.43,9.14,9.26,9.76,9.40,9.43,9.11
2007_ford_expedition_el,2007,31,6.74,9.13,9.00,8.39,8.71,9.29,8.48,8.77,8.56
2007_ford_explorer,2007,35,6.29,8.60,8.86,8.74,8.00,9.20,8.86,8.37,8.36
2007_ford_explorer_sport_trac,2007,72,7.11,8.90,9.28,9.07,8.99,9.33,9.21,9.24,8.89
2007_ford_f-150,2007,82,6.88,9.07,9.51,9.02,8.45,9.24,9.17,8.95,8.79
2007_ford_five_hundred,2007,61,8.39,9.03,8.66,8.95,8.34,9.46,9.13,8.72,8.84
2007_ford_focus,2007,130,8.44,7.96,8.49,8.00,8.68,8.30,8.75,9.06,8.46
2007_ford_freestyle,2007,70,8.39,9.26,9.24,8.86,8.54,9.50,9.03,9.03,8.98
2007_ford_fusion,2007,143,8.27,9.09,9.45,9.13,8.84,9.36,9.46,9.21,9.10
2007_ford_mustang,2007,140,7.36,8.41,9.63,8.39,9.01,8.46,8.80,9.41,8.68
2007_ford_ranger,2007,41,7.54,8.10,8.93,7.90,7.73,8.29,8.61,8.66,8.22
2007_ford_shelby_gt500,2007,24,7.29,8.21,9.21,8.63,9.71,8.67,9.04,9.79,8.82
2007_ford_taurus,2007,25,8.00,7.72,7.88,8.16,8.16,8.52,8.20,7.88,8.07
2007_gmc_acadia,2007,183,7.30,9.11,9.58,8.68,8.44,9.38,8.86,8.99,8.79
2007_gmc_canyon,2007,11,6.64,7.09,8.73,7.27,7.73,6.82,8.09,7.64,7.50
2007_gmc_envoy,2007,30,7.67,8.83,9.57,9.07,9.20,9.50,9.37,9.23,9.05
2007_gmc_sierra_1500,2007,81,7.32,9.16,9.46,9.04,9.15,9.37,9.26,9.26,9.00
2007_gmc_sierra_1500_classic,2007,12,8.00,8.50,8.83,9.08,8.33,9.08,9.50,8.33,8.71
2007_gmc_sierra_2500hd,2007,15,7.87,9.47,9.00,9.07,9.40,9.60,9.47,9.20,9.13
2007_gmc_yukon,2007,75,6.35,8.49,8.84,8.48,8.75,9.28,8.72,8.72,8.45
2007_gmc_yukon_xl,2007,51,6.45,8.76,8.98,8.65,8.92,9.35,8.53,8.92,8.57
2007_honda_accord,2007,276,8.28,8.89,8.82,8.99,8.96,8.70,9.35,8.78,8.85
2007_honda_civic,2007,430,8.83,8.90,9.13,8.78,8.58,8.46,9.28,8.98,8.87
2007_honda_cr-v,2007,299,8.32,8.90,9.27,9.17,8.64,8.82,9.38,8.96,8.93
2007_honda_element,2007,67,7.88,9.28,9.16,9.34,8.79,8.91,9.46,9.39,9.03
2007_honda_fit,2007,358,8.96,9.07,9.10,9.35,8.76,8.46,9.58,9.35,9.08
2007_honda_odyssey,2007,211,6.17,8.56,8.75,8.26,8.21,8.67,8.30,7.86,8.10
2007_honda_pilot,2007,135,6.59,8.81,8.47,8.90,8.85,8.81,9.19,8.47,8.51
2007_honda_ridgeline,2007,107,6.97,8.97,8.61,9.21,8.82,9.00,9.42,8.93,8.74
2007_honda_s2000,2007,29,8.72,9.17,9.79,9.41,9.72,8.31,9.62,9.79,9.32
2007_hyundai_accent,2007,80,8.00,8.21,9.11,8.56,8.16,8.24,8.51,8.88,8.46
2007_hyundai_azera,2007,121,7.70,9.45,9.36,9.26,9.25,9.36,9.36,9.17,9.11
2007_hyundai_elantra,2007,121,8.98,9.24,9.17,8.95,8.77,9.02,9.13,9.04,9.04
2007_hyundai_entourage,2007,143,6.57,8.87,9.04,8.07,8.64,9.11,8.17,8.47,8.37
2007_hyundai_santa_fe,2007,294,7.66,9.23,9.42,9.04,8.89,9.00,9.11,9.07,8.93
2007_hyundai_sonata,2007,263,8.15,8.73,9.23,8.76,8.97,8.84,9.03,8.67,8.80
2007_hyundai_tiburon,2007,43,7.79,9.09,9.33,8.72,8.56,8.63,8.93,9.33,8.80
2007_hyundai_tucson,2007,64,7.39,9.16,9.34,9.25,8.89,9.13,9.36,9.41,8.99
2007_hyundai_veracruz,2007,110,7.71,9.36,9.36,9.05,8.85,9.37,8.98,8.94,8.95
2007_infiniti_fx35,2007,28,6.96,8.68,9.50,8.57,9.14,9.07,8.86,9.18,8.75
2007_infiniti_g35,2007,189,6.69,9.21,9.52,9.22,9.56,9.08,9.39,9.53,9.02
2007_infiniti_m35,2007,74,6.23,9.30,8.73,8.81,8.97,9.05,8.78,8.86,8.59
2007_infiniti_m45,2007,29,7.07,9.62,9.14,9.38,9.66,9.31,9.83,9.76,9.22
2007_jeep_commander,2007,54,5.13,8.30,9.04,7.89,8.31,8.80,8.54,8.93,8.12
2007_jeep_compass,2007,104,7.81,7.83,8.67,8.19,8.28,8.58,8.54,8.60,8.31
2007_jeep_grand_cherokee,2007,91,5.32,7.74,8.53,7.37,7.73,8.32,7.45,8.15,7.58
2007_jeep_liberty,2007,53,6.23,7.34,8.81,7.74,8.64,7.89,8.45,8.70,7.97
2007_jeep_patriot,2007,66,8.32,7.80,8.89,8.44,7.97,8.48,8.83,8.58,8.41
2007_jeep_wrangler,2007,155,6.63,8.32,9.52,8.19,8.05,8.29,8.37,9.55,8.37
2007_kia_amanti,2007,20,8.40,9.85,9.25,9.70,9.70,9.95,9.75,9.55,9.52
