doc_id,hotel_name,hotel_url,street,city,state,country,zip,class,price,num_reviews,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,COMFORT,overall_ratingsource
are_dubai_grosvenor_house_west_marina_beach_by_le_meridien_dubai,grosvenor house west marina beach by le meridien dubai,http://www.tripadvisor.com/ShowUserReviews-g295424-d507352-r50471218-Grosvenor_House_West_Marina_Beach_by_Le_Meridien_Dubai-Dubai.html,al sofouh road,dubai,-1,ARE,8500,-1,-1,299,4.900862068965517,4.810344827586207,4.814655172413793,4.202586206896552,4.560344827586207,0.0,4.657758620689655,
are_dubai_mina_a_salam_at_madinat_jumeirah,mina a salam at madinat jumeirah,http://www.tripadvisor.com/ShowUserReviews-g295424-d302465-r50501713-Mina_A_Salam_at_Madinat_Jumeirah-Dubai.html,p.o. box 75157,dubai,-1,ARE,-1,-1,-1,425,4.918367346938775,4.826530612244898,4.724489795918367,4.880952380952381,4.326530612244898,0.0,4.735374149659863,
are_dubai_al_manzil_hotel,al manzil hotel,http://www.tripadvisor.com/ShowUserReviews-g295424-d644534-r50553393-Al_Manzil_Hotel-Dubai.html,burj dubai,dubai,-1,ARE,-1,-1,-1,129,4.914529914529915,4.64957264957265,4.786324786324786,4.3418803418803416,4.632478632478633,0.0,4.664957264957264,
are_dubai_le_royal_meridien_beach_resort_spa,le royal meridien beach resort spa,http://www.tripadvisor.com/ShowUserReviews-g295424-d301584-r50411953-Le_Royal_Meridien_Beach_Resort_Spa-Dubai.html,al sofouh road,dubai,-1,ARE,24970,-1,-1,320,4.913621262458472,4.714285714285714,4.877076411960133,4.694352159468439,4.32890365448505,0.0,4.705647840531562,
are_dubai_dar_al_masyaf_at_madinat_jumeirah,dar al masyaf at madinat jumeirah,http://www.tripadvisor.com/ShowUserReviews-g295424-d506195-r49795775-Dar_Al_Masyaf_at_Madinat_Jumeirah-Dubai.html,madinat jumeirah resort,dubai,-1,ARE,75157,-1,-1,213,4.951219512195122,4.890243902439025,4.664634146341464,4.847560975609756,4.402439024390244,0.0,4.751219512195123,
are_dubai_al_maha_desert_resort,al maha desert resort,http://www.tripadvisor.com/ShowUserReviews-g295424-d302789-r49237299-Al_Maha_Desert_Resort-Dubai.html,sheikh zayed road,dubai,-1,ARE,-1,-1,-1,131,4.736263736263736,4.857142857142857,4.758241758241758,4.824175824175824,4.329670329670329,0.0,4.701098901098901,
are_dubai_al_qasr_at_madinat_jumeirah,al qasr at madinat jumeirah,http://www.tripadvisor.com/ShowUserReviews-g295424-d506194-r50475811-Al_Qasr_at_Madinat_Jumeirah-Dubai.html,al sufouh rd,dubai,-1,ARE,-1,-1,-1,272,4.833333333333333,4.806451612903226,4.650537634408602,4.817204301075269,4.295698924731183,0.0,4.680645161290323,
are_dubai_jumeirah_beach_hotel,jumeirah beach hotel,http://www.tripadvisor.com/ShowUserReviews-g295424-d302462-r50301788-Jumeirah_Beach_Hotel-Dubai.html,6 jumeirah beach road,dubai,-1,ARE,-1,-1,-1,442,4.823920265780731,4.73421926910299,4.634551495016611,4.8604651162790695,4.269102990033223,0.0,4.664451827242525,
are_dubai_residence_and_spa_at_one_and_only_royal_mirage,residence and spa at one and only royal mirage,http://www.tripadvisor.com/ShowUserReviews-g295424-d1209362-r46733514-Residence_and_Spa_at_One_and_Only_Royal_Mirage-Dubai.html,jumeira beach road,dubai,-1,ARE,-1,-1,-1,21,4.95,4.95,4.95,4.55,4.6,0.0,4.8,
are_dubai_one_only_royal_mirage,one only royal mirage,http://www.tripadvisor.com/ShowUserReviews-g295424-d306627-r47482585-One_Only_Royal_Mirage-Dubai.html,al soufoh road  po box 37252,dubai,-1,ARE,-1,-1,-1,209,4.803030303030303,4.742424242424242,4.666666666666667,4.242424242424242,4.303030303030303,0.0,4.551515151515152,
are_dubai_qamardeen_hotel,qamardeen hotel,http://www.tripadvisor.com/ShowUserReviews-g295424-d642623-r50197437-Qamardeen_Hotel-Dubai.html,burj dubai,dubai,-1,ARE,114788,-1,-1,52,4.857142857142857,4.551020408163265,4.775510204081633,4.081632653061225,4.530612244897959,0.0,4.559183673469388,
are_dubai_grand_hyatt_dubai,grand hyatt dubai,http://www.tripadvisor.com/ShowUserReviews-g295424-d306642-r49934874-Grand_Hyatt_Dubai-Dubai.html,al qutaeyat road,dubai,-1,ARE,-1,-1,-1,170,4.894736842105263,4.780701754385965,4.7105263157894735,4.2894736842105265,4.359649122807017,0.0,4.60701754385965,
