doc_id,hotel_name,hotel_url,street,city,state,country,zip,class,price,num_reviews,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,COMFORT,overall_ratingsource
usa_nevada_las-vegas_staybridge_suites_las_vegas,staybridge suites las vegas,http://www.tripadvisor.com/ShowUserReviews-g45963-d1197075-r50290103-Staybridge_Suites_Las_Vegas-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89118,-1,-1,113,4.884615384615385,4.913461538461538,4.721153846153846,4.259615384615385,4.855769230769231,0.0,4.726923076923077,
usa_nevada_las-vegas_four_seasons_hotel_las_vegas,four seasons hotel las vegas,http://www.tripadvisor.com/ShowUserReviews-g45963-d91674-r50351846-Four_Seasons_Hotel_Las_Vegas-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89119,-1,-1,427,4.823321554770318,4.614840989399293,4.692579505300353,4.219081272084805,4.339222614840989,0.0,4.5378091872791515,
usa_nevada_las-vegas_desert_rose_resort,desert rose resort,http://www.tripadvisor.com/ShowUserReviews-g45963-d217598-r50312177-Desert_Rose_Resort-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89119,-1,-1,325,4.601328903654485,4.614617940199335,4.548172757475083,4.46843853820598,4.707641196013289,0.0,4.588039867109634,
usa_nevada_las-vegas_signature_at_mgm_grand,signature at mgm grand,http://www.tripadvisor.com/ShowUserReviews-g45963-d601419-r50452764-Signature_at_MGM_Grand-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,324,4.7574750830564785,4.760797342192691,4.45514950166113,4.129568106312292,4.45514950166113,0.0,4.511627906976744,
usa_nevada_las-vegas_skylofts_at_mgm_grand,skylofts at mgm grand,http://www.tripadvisor.com/ShowUserReviews-g45963-d619205-r50472678-Skylofts_at_MGM_Grand-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,77,4.863636363636363,4.893939393939394,4.803030303030303,4.53030303030303,4.378787878787879,0.0,4.693939393939393,
usa_nevada_las-vegas_wingate_by_wyndham_henderson,wingate by wyndham henderson,http://www.tripadvisor.com/ShowUserReviews-g45963-d622849-r47272636-Wingate_by_Wyndham_Henderson-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89052,-1,-1,33,4.793103448275862,4.689655172413793,4.758620689655173,4.275862068965517,4.655172413793103,0.0,4.634482758620689,
usa_nevada_las-vegas_marriott_s_grand_chateau,marriott s grand chateau,http://www.tripadvisor.com/ShowUserReviews-g45963-d567617-r50056282-Marriott_s_Grand_Chateau-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,183,4.63265306122449,4.578231292517007,4.319727891156463,4.4353741496598635,4.319727891156463,0.0,4.457142857142857,
usa_nevada_las-vegas_platinum_hotel_and_spa,platinum hotel and spa,http://www.tripadvisor.com/ShowUserReviews-g45963-d610513-r50492467-Platinum_Hotel_and_Spa-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89169,-1,-1,347,4.6544850498338874,4.790697674418604,4.332225913621262,3.9601328903654487,4.5083056478405314,0.0,4.449169435215947,
usa_nevada_las-vegas_element_by_westin_las_vegas_summerlin,element by westin las vegas summerlin,http://www.tripadvisor.com/ShowUserReviews-g45963-d1149361-r48750791-Element_by_Westin_Las_Vegas_Summerlin-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89135,-1,-1,25,4.695652173913044,4.6521739130434785,4.391304347826087,3.782608695652174,4.478260869565218,0.0,4.4,
usa_nevada_las-vegas_jw_marriott_las_vegas_resort_spa_golf,jw marriott las vegas resort spa golf,http://www.tripadvisor.com/ShowUserReviews-g45963-d124741-r50006922-JW_Marriott_Las_Vegas_Resort_Spa_Golf-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89145,-1,-1,388,4.617021276595745,4.611702127659575,4.409574468085107,4.0212765957446805,4.287234042553192,0.0,4.38936170212766,
