doc_id,hotel_name,hotel_url,street,city,state,country,zip,class,price,num_reviews,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,COMFORT,overall_ratingsource
can_montreal_le_relais_lyonnais,le relais lyonnais,http://www.tripadvisor.com/ShowUserReviews-g155032-d631714-r49933883-Le_Relais_Lyonnais-Montreal_Quebec.html,1595 rue st denis,montreal,quebec,CAN,h2x 2k3,-1,-1,97,4.976470588235294,4.847058823529411,4.6,4.811764705882353,4.635294117647059,0.0,4.774117647058824,
can_montreal_le_petit_hotel,le petit hotel,http://www.tripadvisor.com/ShowUserReviews-g155032-d1473790-r49915963-Le_Petit_Hotel-Montreal_Quebec.html,168 rue st-paul ouest,montreal,quebec,CAN,h2y 1z7,-1,-1,23,4.857142857142857,4.809523809523809,4.761904761904762,4.904761904761905,4.523809523809524,0.0,4.771428571428571,
can_montreal_hotel_le_st_james,hotel le st james,http://www.tripadvisor.com/ShowUserReviews-g155032-d252386-r50217776-Hotel_Le_St_James-Montreal_Quebec.html,355 st-jacques,montreal,quebec,CAN,h2y 1n9,-1,-1,84,4.945454545454545,4.709090909090909,4.581818181818182,4.672727272727273,4.381818181818182,0.0,4.658181818181818,
can_montreal_le_square_phillips_hotel_suites,le square phillips hotel suites,http://www.tripadvisor.com/ShowUserReviews-g155032-d259456-r49901990-Le_Square_Phillips_Hotel_Suites-Montreal_Quebec.html,1193 place phillips,montreal,quebec,CAN,h3b 3c9,-1,-1,435,4.757709251101321,4.647577092511013,4.488986784140969,4.691629955947136,4.506607929515418,0.0,4.618502202643172,
can_montreal_le_saint_sulpice,le saint sulpice,http://www.tripadvisor.com/ShowUserReviews-g155032-d224665-r48396434-Le_Saint_Sulpice-Montreal_Quebec.html,414 rue saint sulpice,montreal,quebec,CAN,h2y 2v5,-1,-1,230,4.548672566371682,4.486725663716814,4.283185840707965,4.823008849557522,4.212389380530974,0.0,4.470796460176991,
can_montreal_loews_hotel_vogue,loews hotel vogue,http://www.tripadvisor.com/ShowUserReviews-g155032-d183258-r49198482-Loews_Hotel_Vogue-Montreal_Quebec.html,1425 rue de la montagne,montreal,quebec,CAN,h3g 1z3,-1,-1,210,4.839285714285714,4.633928571428571,4.714285714285714,4.758928571428571,4.517857142857143,0.0,4.692857142857143,
can_montreal_hotel_gault,hotel gault,http://www.tripadvisor.com/ShowUserReviews-g155032-d264340-r48863147-Hotel_Gault-Montreal_Quebec.html,449 sainte-helene,montreal,quebec,CAN,h2y 2k9,-1,-1,155,4.582278481012659,4.670886075949367,4.582278481012659,4.708860759493671,4.506329113924051,0.0,4.610126582278481,
can_montreal_holiday_inn_express_hotel_suites_montreal_airport,holiday inn express hotel suites montreal airport,http://www.tripadvisor.com/ShowUserReviews-g155032-d1225564-r50035109-Holiday_Inn_Express_Hotel_Suites_Montreal_Airport-Montreal_Quebec.html,10888 cote de liesse,montreal,quebec,CAN,h8t 1a6,-1,-1,36,4.848484848484849,4.7272727272727275,4.575757575757576,3.878787878787879,4.606060606060606,0.0,4.527272727272727,
can_montreal_embassy_suites_montreal,embassy suites montreal,http://www.tripadvisor.com/ShowUserReviews-g155032-d671513-r50556537-Embassy_Suites_Montreal-Montreal_Quebec.html,208 saint antoine ouest,montreal,quebec,CAN,h2y 0a6,-1,-1,112,4.631067961165049,4.679611650485437,4.378640776699029,4.601941747572815,4.388349514563107,0.0,4.535922330097088,
can_montreal_hotel_kutuma,hotel kutuma,http://www.tripadvisor.com/ShowUserReviews-g155032-d592139-r50424070-Hotel_Kutuma-Montreal_Quebec.html,3708 st. denis street,montreal,quebec,CAN,h2x 3l7,-1,-1,50,4.75,4.613636363636363,4.545454545454546,4.659090909090909,4.5227272727272725,0.0,4.618181818181818,
can_montreal_hotel_xixe_siecle,hotel xixe siecle,http://www.tripadvisor.com/ShowUserReviews-g155032-d254348-r50306285-Hotel_Xixe_Siecle-Montreal_Quebec.html,262 st jacques west,montreal,quebec,CAN,h2y 1n1,-1,-1,124,4.63013698630137,4.47945205479452,4.383561643835616,4.602739726027397,4.397260273972603,0.0,4.498630136986302,
can_montreal_auberge_bonaparte,auberge bonaparte,http://www.tripadvisor.com/ShowUserReviews-g155032-d155208-r49763547-Auberge_Bonaparte-Montreal_Quebec.html,447 st.-francois xavier,montreal,quebec,CAN,h2y 2t1,-1,-1,103,4.73015873015873,4.380952380952381,4.4603174603174605,4.761904761904762,4.365079365079365,0.0,4.5396825396825395,
can_montreal_hotel_le_crystal,hotel le crystal,http://www.tripadvisor.com/ShowUserReviews-g155032-d1006904-r50541888-Hotel_Le_Crystal-Montreal_Quebec.html,1100 rue de la montagne,montreal,quebec,CAN,h3g 0a1,-1,-1,97,4.616279069767442,4.651162790697675,4.441860465116279,4.558139534883721,4.3023255813953485,0.0,4.513953488372093,
can_montreal_sofitel_montreal,sofitel montreal,http://www.tripadvisor.com/ShowUserReviews-g155032-d254354-r50082689-Sofitel_Montreal-Montreal_Quebec.html,1155 sherbrooke west,montreal,quebec,CAN,h3a 2n3,-1,-1,182,4.719298245614035,4.526315789473684,4.5,4.5,4.184210526315789,0.0,4.485964912280702,
can_montreal_le_place_d_armes_hotel_suites,le place d armes hotel suites,http://www.tripadvisor.com/ShowUserReviews-g155032-d254461-r49600316-Le_Place_d_Armes_Hotel_Suites-Montreal_Quebec.html,55 saint-jacques w,montreal,quebec,CAN,h2y 3x2,-1,-1,209,4.541666666666667,4.525,4.283333333333333,4.758333333333334,4.141666666666667,0.0,4.450000000000001,
can_montreal_le_germain_hotel_montreal,le germain hotel montreal,http://www.tripadvisor.com/ShowUserReviews-g155032-d185644-r48988336-Le_Germain_Hotel_Montreal-Montreal_Quebec.html,2050 rue mansfield,montreal,quebec,CAN,h3a 1y9,-1,-1,45,4.583333333333333,4.791666666666667,4.708333333333333,4.791666666666667,4.125,0.0,4.6,
can_montreal_hilton_garden_inn_montreal_centre_ville,hilton garden inn montreal centre ville,http://www.tripadvisor.com/ShowUserReviews-g155032-d1064610-r49978816-Hilton_Garden_Inn_Montreal_Centre_ville-Montreal_Quebec.html,380 sherbrooke st. west,montreal,quebec,CAN,h3a 0b1,-1,-1,62,4.793103448275862,4.5344827586206895,4.362068965517241,4.482758620689655,4.293103448275862,0.0,4.493103448275862,
can_montreal_hotel_nelligan,hotel nelligan,http://www.tripadvisor.com/ShowUserReviews-g155032-d263978-r49852467-Hotel_Nelligan-Montreal_Quebec.html,106 saint paul st w,montreal,quebec,CAN,h2y 1z3,-1,-1,256,4.703030303030303,4.612121212121212,4.5212121212121215,4.781818181818182,4.3090909090909095,0.0,4.585454545454546,
can_montreal_parc_suites_hotel,parc suites hotel,http://www.tripadvisor.com/ShowUserReviews-g155032-d1017598-r50523981-Parc_Suites_Hotel-Montreal_Quebec.html,3463 avenue du parc,montreal,quebec,CAN,h2x 2h6,-1,-1,64,4.816666666666666,4.433333333333334,4.6,4.4,4.566666666666666,0.0,4.5633333333333335,
can_montreal_residence_inn_by_marriott_montreal_downtown,residence inn by marriott montreal downtown,http://www.tripadvisor.com/ShowUserReviews-g155032-d183228-r50133850-Residence_Inn_by_Marriott_Montreal_Downtown-Montreal_Quebec.html,2045 peel street,montreal,quebec,CAN,h3a 1t6,-1,-1,179,4.412280701754386,4.140350877192983,4.324561403508772,4.7368421052631575,4.157894736842105,0.0,4.3543859649122805,
can_montreal_hotel_dauphin_montreal_downtown,hotel dauphin montreal downtown,http://www.tripadvisor.com/ShowUserReviews-g155032-d639063-r49117146-Hotel_Dauphin_Montreal_Downtown-Montreal_Quebec.html,1025 de bleury street,montreal,quebec,CAN,h2z 1m7,-1,-1,45,4.684210526315789,4.5,4.105263157894737,4.578947368421052,4.526315789473684,0.0,4.478947368421052,
can_montreal_w_montreal,w montreal,http://www.tripadvisor.com/ShowUserReviews-g155032-d497207-r50374855-W_Montreal-Montreal_Quebec.html,901 victoria square,montreal,quebec,CAN,h2z 1r1,-1,-1,205,4.441860465116279,4.348837209302325,4.271317829457364,4.457364341085271,3.7906976744186047,0.0,4.262015503875968,
can_montreal_hotel_du_fort,hotel du fort,http://www.tripadvisor.com/ShowUserReviews-g155032-d185733-r50046067-Hotel_du_Fort-Montreal_Quebec.html,1390 rue du fort,montreal,quebec,CAN,h3h 2r7,-1,-1,114,4.4714285714285715,4.228571428571429,4.357142857142857,4.257142857142857,4.4,0.0,4.3428571428571425,
can_montreal_courtyard_by_marriott_montreal_airport,courtyard by marriott montreal airport,http://www.tripadvisor.com/ShowUserReviews-g155032-d612721-r47395871-Courtyard_by_Marriott_Montreal_Airport-Montreal_Quebec.html,7000 place robert-joncas,montreal,quebec,CAN,h4m 2z5,-1,-1,22,4.611111111111111,4.555555555555555,4.388888888888889,3.888888888888889,4.277777777777778,0.0,4.344444444444444,
can_montreal_springhill_suites_old_montreal,springhill suites old montreal,http://www.tripadvisor.com/ShowUserReviews-g155032-d224666-r50237196-SpringHill_Suites_Old_Montreal-Montreal_Quebec.html,445 st jean baptiste st,montreal,quebec,CAN,h2y 2z7,-1,-1,147,4.468354430379747,4.1645569620253164,4.3544303797468356,4.8354430379746836,4.215189873417722,0.0,4.407594936708861,
can_montreal_fairfield_inn_suites_montreal_airport,fairfield inn suites montreal airport,http://www.tripadvisor.com/ShowUserReviews-g155032-d817421-r48533436-Fairfield_Inn_Suites_Montreal_Airport-Montreal_Quebec.html,700 avenue michel jasmin,montreal,quebec,CAN,h9p 1c5,-1,-1,19,4.882352941176471,4.764705882352941,4.588235294117647,3.7058823529411766,4.294117647058823,0.0,4.447058823529412,
can_montreal_chateau_de_l_argoat,chateau de l argoat,http://www.tripadvisor.com/ShowUserReviews-g155032-d183227-r50000060-Chateau_de_l_Argoat-Montreal_Quebec.html,524 rue sherbrooke est,montreal,quebec,CAN,h2l 1k1,-1,-1,137,4.365591397849462,3.989247311827957,4.301075268817204,4.473118279569892,4.365591397849462,0.0,4.298924731182796,
can_montreal_marriott_chateau_champlain,marriott chateau champlain,http://www.tripadvisor.com/ShowUserReviews-g155032-d185746-r50434942-Marriott_Chateau_Champlain-Montreal_Quebec.html,1 place du canada,montreal,quebec,CAN,h3b 4c9,-1,-1,207,4.390977443609023,4.067669172932331,4.2556390977443606,4.526315789473684,4.007518796992481,0.0,4.249624060150376,
can_montreal_aloft_montreal_airport,aloft montreal airport,http://www.tripadvisor.com/ShowUserReviews-g155032-d1027281-r47423046-Aloft_Montreal_Airport-Montreal_Quebec.html,500 mcmillan blvd,montreal,quebec,CAN,h9p0a2,-1,-1,39,4.8108108108108105,4.513513513513513,4.054054054054054,3.7837837837837838,4.5675675675675675,0.0,4.345945945945945,
can_montreal_hotel_les_suites_labelle,hotel les suites labelle,http://www.tripadvisor.com/ShowUserReviews-g155032-d596377-r48348136-Hotel_Les_Suites_Labelle-Montreal_Quebec.html,1205 rue labelle,montreal,quebec,CAN,h2l 4c1,-1,-1,59,4.078431372549019,3.8627450980392157,3.8823529411764706,3.7254901960784315,3.9215686274509802,0.0,3.894117647058823,
