doc_id,hotel_name,hotel_url,street,city,state,country,zip,class,price,num_reviews,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,COMFORT,overall_ratingsource
india_new delhi_amarya_garden,amarya garden,http://www.tripadvisor.com/ShowUserReviews-g304551-d776043-r49315190-Amarya_Garden-New_Delhi_National_Capital_Territory_of_Delhi.html,c 179 defence colony,new delhi,-1,India,110024,-1,-1,20,4.888888888888889,4.888888888888889,4.944444444444445,4.722222222222222,4.777777777777778,0.0,4.844444444444444,
india_new delhi_shanti_home,shanti home,http://www.tripadvisor.com/ShowUserReviews-g304551-d675225-r49847951-Shanti_Home-New_Delhi_National_Capital_Territory_of_Delhi.html,a-1/300 janakpuri,new delhi,-1,India,110058,-1,-1,157,4.86,4.64,4.826666666666667,3.6733333333333333,4.533333333333333,0.0,4.506666666666666,
india_new delhi_taj_mahal_hotel,taj mahal hotel,http://www.tripadvisor.com/ShowUserReviews-g304551-d302182-r50481846-Taj_Mahal_Hotel-New_Delhi_National_Capital_Territory_of_Delhi.html,1 mansingh rd,new delhi,-1,India,110 011,-1,-1,118,4.689655172413793,4.413793103448276,4.724137931034483,4.471264367816092,4.149425287356322,0.0,4.489655172413793,
india_new delhi_the_amber,the amber,http://www.tripadvisor.com/ShowUserReviews-g304551-d1030533-r50557775-The_Amber-New_Delhi_National_Capital_Territory_of_Delhi.html,198 sukhdev vihar,new delhi,-1,India,110025,-1,-1,49,4.866666666666666,4.777777777777778,4.533333333333333,3.6444444444444444,4.333333333333333,0.0,4.431111111111112,
india_new delhi_oberoi_new_delhi,oberoi new delhi,http://www.tripadvisor.com/ShowUserReviews-g304551-d304216-r50547017-Oberoi_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,dr. zakir hussain marg,new delhi,-1,India,110 003,-1,-1,121,4.7073170731707314,4.439024390243903,4.621951219512195,4.304878048780488,4.073170731707317,0.0,4.429268292682926,
india_new delhi_hotel_le_roi,hotel le roi,http://www.tripadvisor.com/ShowUserReviews-g304551-d1545232-r50311506-Hotel_Le_Roi-New_Delhi_National_Capital_Territory_of_Delhi.html,2206  chuna mandi  pahar ganj,new delhi,-1,India,110055,-1,-1,13,4.75,4.75,4.833333333333333,4.583333333333333,4.75,0.0,4.7333333333333325,
india_new delhi_raunak_plaza,raunak plaza,http://www.tripadvisor.com/ShowUserReviews-g304551-d1160079-r50560408-Raunak_Plaza-New_Delhi_National_Capital_Territory_of_Delhi.html,12a/29 w.e.a saraswati marg karol  bagh,new delhi,-1,India,110005,-1,-1,30,4.285714285714286,4.392857142857143,4.464285714285714,4.357142857142857,4.428571428571429,0.0,4.385714285714285,
india_new delhi_svelte_hotel_and_personal_suites,svelte hotel and personal suites,http://www.tripadvisor.com/ShowUserReviews-g304551-d1150036-r49786172-Svelte_Hotel_and_Personal_Suites-New_Delhi_National_Capital_Territory_of_Delhi.html,a-3  district centre,new delhi,-1,India,110017,-1,-1,16,4.846153846153846,5.0,4.6923076923076925,3.6153846153846154,3.923076923076923,0.0,4.415384615384616,
india_new delhi_itc_maurya_new_delhi,itc maurya new delhi,http://www.tripadvisor.com/ShowUserReviews-g304551-d301777-r50575514-ITC_Maurya_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,diplomatic enclave  sadar patel marg,new delhi,-1,India,110 021,-1,-1,110,4.62962962962963,4.530864197530864,4.45679012345679,4.098765432098766,3.950617283950617,0.0,4.333333333333334,
india_new delhi_the_manor,the manor,http://www.tripadvisor.com/ShowUserReviews-g304551-d321126-r47276519-The_Manor-New_Delhi_National_Capital_Territory_of_Delhi.html,77 friends colony w,new delhi,-1,India,110065,-1,-1,79,4.471698113207547,4.188679245283019,4.6415094339622645,3.8679245283018866,3.8679245283018866,0.0,4.207547169811321,
