doc_id,hotel_name,hotel_url,street,city,state,country,zip,class,price,num_reviews,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,COMFORT,overall_ratingsource
usa_new york city_inn_new_york_city,inn new york city,http://www.tripadvisor.com/ShowUserReviews-g60763-d80092-r48562223-Inn_New_York_City-New_York_City_New_York.html,266 west 71st st.,new york city,ny,USA,10023,-1,-1,98,4.984848484848484,4.9393939393939394,4.96969696969697,4.893939393939394,4.757575757575758,0.0,4.909090909090908,
usa_new york city_casablanca_hotel,casablanca hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d113317-r50468901-Casablanca_Hotel-New_York_City_New_York.html,147 west 43rd street,new york city,ny,USA,10036,-1,-1,330,4.73421926910299,4.21594684385382,4.767441860465116,4.840531561461794,4.382059800664452,0.0,4.588039867109634,
usa_new york city_library_hotel,library hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d224221-r50266840-Library_Hotel-New_York_City_New_York.html,299 madison avenue,new york city,ny,USA,10017,-1,-1,341,4.897009966777409,4.4916943521594686,4.787375415282392,4.807308970099668,4.3754152823920265,0.0,4.671760797342193,
usa_new york city_new_york_palace_hotel,new york palace hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d126260-r50469011-New_York_Palace_Hotel-New_York_City_New_York.html,455 madison ave,new york city,ny,USA,10022,-1,-1,345,4.803986710963455,4.647840531561462,4.651162790697675,4.8604651162790695,4.3455149501661126,0.0,4.661794019933555,
usa_new york city_the_french_quarters_guest_apartments,the french quarters guest apartments,http://www.tripadvisor.com/ShowUserReviews-g60763-d1415127-r50408624-The_French_Quarters_Guest_Apartments-New_York_City_New_York.html,346 w. 46th street,new york city,ny,USA,10036,-1,-1,33,4.896551724137931,4.724137931034483,4.689655172413793,4.793103448275862,4.655172413793103,0.0,4.751724137931035,
usa_new york city_sofitel_new_york,sofitel new york,http://www.tripadvisor.com/ShowUserReviews-g60763-d208454-r50524839-Sofitel_New_York-New_York_City_New_York.html,45 west 44th street,new york city,ny,USA,10036,-1,-1,328,4.764119601328904,4.607973421926911,4.54485049833887,4.847176079734219,4.26578073089701,0.0,4.605980066445182,
usa_new york city_hotel_giraffe,hotel giraffe,http://www.tripadvisor.com/ShowUserReviews-g60763-d99762-r50447395-Hotel_Giraffe-New_York_City_New_York.html,365 park ave s,new york city,ny,USA,10016,-1,-1,348,4.837209302325581,4.617940199335548,4.598006644518272,4.511627906976744,4.299003322259137,0.0,4.572757475083057,
usa_new york city_hotel_elysee,hotel elysee,http://www.tripadvisor.com/ShowUserReviews-g60763-d93340-r50241527-Hotel_Elysee-New_York_City_New_York.html,60 east 54th street,new york city,ny,USA,10022,-1,-1,372,4.711111111111111,4.485185185185185,4.625925925925926,4.792592592592593,4.388888888888889,0.0,4.600740740740741,
usa_new york city_the_ritz_carlton_new_york_central_park,the ritz carlton new york central park,http://www.tripadvisor.com/ShowUserReviews-g60763-d224224-r50305079-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York.html,50 central park south,new york city,ny,USA,10019,-1,-1,152,4.829268292682927,4.682926829268292,4.597560975609756,4.914634146341464,4.146341463414634,0.0,4.634146341463414,
usa_new york city_residence_inn_by_marriott_times_square_new_york,residence inn by marriott times square new york,http://www.tripadvisor.com/ShowUserReviews-g60763-d578305-r50422345-Residence_Inn_by_Marriott_Times_Square_New_York-New_York_City_New_York.html,1033 avenue of the americas,new york city,ny,USA,10018,-1,-1,388,4.642140468227424,4.525083612040134,4.381270903010034,4.725752508361204,4.39799331103679,0.0,4.534448160535117,
usa_new york city_affinia_dumont,affinia dumont,http://www.tripadvisor.com/ShowUserReviews-g60763-d292142-r50363398-Affinia_Dumont-New_York_City_New_York.html,150 east 34th street,new york city,ny,USA,10016,-1,-1,345,4.485049833887043,4.485049833887043,4.411960132890365,4.647840531561462,4.352159468438538,0.0,4.476411960132891,
usa_new york city_chelsea_pines_inn,chelsea pines inn,http://www.tripadvisor.com/ShowUserReviews-g60763-d122020-r50375963-Chelsea_Pines_Inn-New_York_City_New_York.html,317 west 14th street,new york city,ny,USA,10014,-1,-1,205,4.447204968944099,4.167701863354037,4.546583850931677,4.850931677018633,4.366459627329193,0.0,4.475776397515528,
usa_new york city_the_hampton_inn_times_square_north,the hampton inn times square north,http://www.tripadvisor.com/ShowUserReviews-g60763-d93457-r50108480-The_Hampton_Inn_Times_Square_North-New_York_City_New_York.html,851 eighth avenue @ 51st street,new york city,ny,USA,10019,-1,-1,332,4.588039867109635,4.4352159468438535,4.568106312292358,4.787375415282392,4.441860465116279,0.0,4.564119601328903,
