doc_id,hotel_name,hotel_url,street,city,state,country,zip,class,price,num_reviews,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,COMFORT,overall_ratingsource
usa_san francisco_fairmont_heritage_place_ghirardelli_square,fairmont heritage place ghirardelli square,http://www.tripadvisor.com/ShowUserReviews-g60713-d1175274-r50081443-Fairmont_Heritage_Place_Ghirardelli_Square-San_Francisco_California.html,900 north point street,san francisco,ca,USA,94109,-1,-1,41,4.897435897435898,4.948717948717949,4.769230769230769,4.743589743589744,4.615384615384615,0.0,4.794871794871795,
usa_san francisco_hotel_drisco,hotel drisco,http://www.tripadvisor.com/ShowUserReviews-g60713-d80983-r50349306-Hotel_Drisco-San_Francisco_California.html,2901 pacific avenue,san francisco,ca,USA,94115,-1,-1,307,4.802816901408451,4.694835680751174,4.765258215962441,4.525821596244131,4.572769953051643,0.0,4.672300469483568,
usa_san francisco_omni_san_francisco_hotel,omni san francisco hotel,http://www.tripadvisor.com/ShowUserReviews-g60713-d224948-r50002959-Omni_San_Francisco_Hotel-San_Francisco_California.html,500 california street,san francisco,ca,USA,94104,-1,-1,350,4.767441860465116,4.571428571428571,4.737541528239203,4.485049833887043,4.431893687707642,0.0,4.598671096345514,
usa_san francisco_the_inn_at_union_square,the inn at union square,http://www.tripadvisor.com/ShowUserReviews-g60713-d81409-r49488764-The_Inn_at_Union_Square-San_Francisco_California.html,440 post street,san francisco,ca,USA,94102,-1,-1,241,4.576086956521739,4.375,4.695652173913044,4.907608695652174,4.603260869565218,0.0,4.631521739130435,
usa_san francisco_the_orchard_hotel,the orchard hotel,http://www.tripadvisor.com/ShowUserReviews-g60713-d217844-r50220538-The_Orchard_Hotel-San_Francisco_California.html,665 bush street,san francisco,ca,USA,94108,-1,-1,333,4.687707641196013,4.584717607973422,4.465116279069767,4.691029900332226,4.514950166112957,0.0,4.588704318936878,
usa_san francisco_the_donatello_hotel,the donatello hotel,http://www.tripadvisor.com/ShowUserReviews-g60713-d81394-r50433732-The_Donatello_Hotel-San_Francisco_California.html,501 post st.,san francisco,ca,USA,94102,-1,-1,324,4.641196013289036,4.48172757475083,4.647840531561462,4.744186046511628,4.6112956810631225,0.0,4.625249169435216,
usa_san francisco_chancellor_hotel_on_union_square,chancellor hotel on union square,http://www.tripadvisor.com/ShowUserReviews-g60713-d115644-r50550542-Chancellor_Hotel_on_Union_Square-San_Francisco_California.html,433 powell street,san francisco,ca,USA,94102,-1,-1,325,4.700996677740863,4.255813953488372,4.561461794019934,4.893687707641196,4.574750830564784,0.0,4.59734219269103,
usa_san francisco_white_swan_inn,white swan inn,http://www.tripadvisor.com/ShowUserReviews-g60713-d112373-r50517988-White_Swan_Inn-San_Francisco_California.html,845 bush street,san francisco,ca,USA,94108,-1,-1,226,4.5285714285714285,4.442857142857143,4.614285714285714,4.635714285714286,4.371428571428571,0.0,4.518571428571429,
usa_san francisco_argonaut_hotel_a_kimpton_hotel,argonaut hotel a kimpton hotel,http://www.tripadvisor.com/ShowUserReviews-g60713-d268533-r50391522-Argonaut_Hotel_a_Kimpton_Hotel-San_Francisco_California.html,495 jefferson street at hyde,san francisco,ca,USA,94109,-1,-1,352,4.740863787375416,4.4784053156146175,4.5083056478405314,4.7275747508305646,4.275747508305648,0.0,4.546179401993355,
usa_san francisco_hotel_monaco_san_francisco_a_kimpton_hotel,hotel monaco san francisco a kimpton hotel,http://www.tripadvisor.com/ShowUserReviews-g60713-d81985-r50377981-Hotel_Monaco_San_Francisco_a_Kimpton_Hotel-San_Francisco_California.html,501 geary st,san francisco,ca,USA,94102,-1,-1,293,4.6234567901234565,4.185185185185185,4.444444444444445,4.3580246913580245,4.12962962962963,0.0,4.348148148148148,
usa_san francisco_mandarin_oriental,mandarin oriental,http://www.tripadvisor.com/ShowUserReviews-g60713-d81126-r47604737-Mandarin_Oriental-San_Francisco_California.html,222 sansome street,san francisco,ca,USA,94104,-1,-1,188,4.818181818181818,4.603305785123967,4.586776859504132,4.471074380165289,4.008264462809917,0.0,4.497520661157026,
usa_san francisco_orchard_garden_hotel,orchard garden hotel,http://www.tripadvisor.com/ShowUserReviews-g60713-d618542-r50319708-Orchard_Garden_Hotel-San_Francisco_California.html,466 bush street,san francisco,ca,USA,94108,-1,-1,311,4.806083650190114,4.52851711026616,4.524714828897339,4.699619771863118,4.35361216730038,0.0,4.582509505703422,
usa_san francisco_marines_memorial_club_hotel,marines memorial club hotel,http://www.tripadvisor.com/ShowUserReviews-g60713-d224958-r45880313-Marines_Memorial_Club_Hotel-San_Francisco_California.html,609 sutter st,san francisco,ca,USA,94102-1017,-1,-1,32,4.6521739130434785,4.130434782608695,4.695652173913044,4.739130434782608,4.695652173913044,0.0,4.582608695652174,
usa_san francisco_the_ritz_carlton,the ritz carlton,http://www.tripadvisor.com/ShowUserReviews-g60713-d81450-r50577310-The_Ritz_Carlton-San_Francisco_California.html,600 stockton street,san francisco,ca,USA,94108,-1,-1,215,4.865079365079365,4.7063492063492065,4.690476190476191,4.571428571428571,4.2063492063492065,0.0,4.607936507936508,
usa_san francisco_hotel_abri_union_square_a_larkspur_collection_hotel,hotel abri union square a larkspur collection hotel,http://www.tripadvisor.com/ShowUserReviews-g60713-d81165-r49939335-Hotel_Abri_Union_Square_A_Larkspur_Collection_Hotel-San_Francisco_California.html,127 ellis street,san francisco,ca,USA,94102,-1,-1,167,4.554545454545455,4.163636363636364,4.5636363636363635,4.6909090909090905,4.527272727272727,0.0,4.5,
usa_san francisco_le_meridien_san_francisco,le meridien san francisco,http://www.tripadvisor.com/ShowUserReviews-g60713-d81204-r50293591-Le_Meridien_San_Francisco-San_Francisco_California.html,333 battery street,san francisco,ca,USA,94111,-1,-1,304,4.670588235294118,4.596078431372549,4.435294117647059,4.454901960784314,4.298039215686274,0.0,4.490980392156863,
usa_san francisco_the_huntington_hotel_nob_hill_spa,the huntington hotel nob hill spa,http://www.tripadvisor.com/ShowUserReviews-g60713-d115625-r50358657-The_Huntington_Hotel_Nob_Hill_Spa-San_Francisco_California.html,1075 california street,san francisco,ca,USA,94108,-1,-1,95,4.602739726027397,4.205479452054795,4.575342465753424,4.63013698630137,4.068493150684931,0.0,4.416438356164384,
usa_san francisco_hotel_rex,hotel rex,http://www.tripadvisor.com/ShowUserReviews-g60713-d112307-r50393133-Hotel_Rex-San_Francisco_California.html,562 sutter st,san francisco,ca,USA,94102,-1,-1,471,4.496240601503759,4.105263157894737,4.545112781954887,4.7406015037593985,4.349624060150376,0.0,4.447368421052632,
usa_san francisco_hotel_vitale,hotel vitale,http://www.tripadvisor.com/ShowUserReviews-g60713-d506418-r50215260-Hotel_Vitale-San_Francisco_California.html,8 mission street,san francisco,ca,USA,94105,-1,-1,283,4.787096774193548,4.658064516129032,4.535483870967742,4.7612903225806456,4.096774193548387,0.0,4.5677419354838715,
usa_san francisco_columbus_motor_inn,columbus motor inn,http://www.tripadvisor.com/ShowUserReviews-g60713-d119657-r50190499-Columbus_Motor_Inn-San_Francisco_California.html,1075 columbus ave,san francisco,ca,USA,94133,-1,-1,253,4.460732984293194,4.214659685863874,4.015706806282722,4.643979057591623,4.596858638743456,0.0,4.386387434554974,
usa_san francisco_ocean_park_motel,ocean park motel,http://www.tripadvisor.com/ShowUserReviews-g60713-d291227-r49302917-Ocean_Park_Motel-San_Francisco_California.html,2690 46th ave,san francisco,ca,USA,94116,-1,-1,55,4.568181818181818,3.977272727272727,4.4772727272727275,4.136363636363637,4.454545454545454,0.0,4.322727272727273,
usa_san francisco_the_fairmont_san_francisco,the fairmont san francisco,http://www.tripadvisor.com/ShowUserReviews-g60713-d81397-r50579192-The_Fairmont_San_Francisco-San_Francisco_California.html,950 mason street,san francisco,ca,USA,94108,-1,-1,361,4.5703125,4.3125,4.2578125,4.53515625,4.03125,0.0,4.34140625,
usa_san francisco_hotel_carlton_a_joie_de_vivre_hotel,hotel carlton a joie de vivre hotel,http://www.tripadvisor.com/ShowUserReviews-g60713-d80925-r50503284-Hotel_Carlton_a_Joie_de_Vivre_hotel-San_Francisco_California.html,1075 sutter street,san francisco,ca,USA,94109,-1,-1,352,4.5215946843853825,4.106312292358804,4.700996677740863,3.9269102990033224,4.4352159468438535,0.0,4.338205980066445,
usa_san francisco_the_kensington_park_hotel,the kensington park hotel,http://www.tripadvisor.com/ShowUserReviews-g60713-d112347-r50228406-The_Kensington_Park_Hotel-San_Francisco_California.html,450 post street,san francisco,ca,USA,94102,-1,-1,144,4.404255319148936,4.180851063829787,4.404255319148936,4.840425531914893,4.23404255319149,0.0,4.412765957446808,
