doc_id,hotel_name,hotel_url,street,city,state,country,zip,class,price,num_reviews,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,COMFORT,overall_ratingsource
china_shanghai_st_regis_shanghai,st regis shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d301769-r48829768-St_Regis_Shanghai-Shanghai.html,no.889 dongfang road  pudong new district,shanghai,-1,China,200122,-1,-1,52,4.875,4.875,4.7,3.75,4.5,0.0,4.54,
china_shanghai_pudong_shangri_la_shanghai,pudong shangri la shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d307540-r48491123-Pudong_Shangri_La_Shanghai-Shanghai.html,no.33 fucheng road  pudongxin district,shanghai,-1,China,200120,-1,-1,137,4.744897959183674,4.530612244897959,4.448979591836735,4.479591836734694,4.071428571428571,0.0,4.455102040816326,
china_shanghai_jw_marriott_hotel_shanghai_at_tomorrow_square,jw marriott hotel shanghai at tomorrow square,http://www.tripadvisor.com/ShowUserReviews-g308272-d299747-r50555909-JW_Marriott_Hotel_Shanghai_at_Tomorrow_Square-Shanghai.html,no.399 nanjing west road  huangpu district,shanghai,-1,China,200003,-1,-1,104,4.735294117647059,4.5588235294117645,4.338235294117647,4.647058823529412,4.117647058823529,0.0,4.4794117647058815,
china_shanghai_the_eton_hotel,the eton hotel,http://www.tripadvisor.com/ShowUserReviews-g308272-d626309-r50248974-The_Eton_Hotel-Shanghai.html,no.535 pudong avenue  pudong new area,shanghai,-1,China,200120,-1,-1,84,4.757142857142857,4.628571428571429,4.271428571428571,3.3,4.485714285714286,0.0,4.288571428571428,
china_shanghai_jia_shanghai,jia shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d678592-r48478869-JIA_Shanghai-Shanghai.html,no.931 nanjing west road  jing'an district,shanghai,-1,China,200041,-1,-1,31,4.769230769230769,4.923076923076923,4.1923076923076925,4.730769230769231,4.269230769230769,0.0,4.5769230769230775,
china_shanghai_the_puli_hotel_and_spa,the puli hotel and spa,http://www.tripadvisor.com/ShowUserReviews-g308272-d1200824-r49600633-The_Puli_Hotel_and_Spa-Shanghai.html,no.1600 nanjing west road,shanghai,-1,China,200040,-1,-1,12,4.7272727272727275,4.636363636363637,4.363636363636363,4.090909090909091,4.454545454545454,0.0,4.454545454545454,
china_shanghai_le_royal_meridien_shanghai,le royal meridien shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d578903-r50390352-Le_Royal_Meridien_Shanghai-Shanghai.html,no.789 nanjing east road,shanghai,-1,China,200001,-1,-1,222,4.595744680851064,4.446808510638298,4.122340425531915,4.792553191489362,4.026595744680851,0.0,4.396808510638297,
china_shanghai_grand_hyatt_shanghai,grand hyatt shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d302999-r50003805-Grand_Hyatt_Shanghai-Shanghai.html,no.88 century avenue  pudong new area,shanghai,-1,China,200121,-1,-1,163,4.6,4.504761904761905,4.276190476190476,4.295238095238095,3.8190476190476192,0.0,4.299047619047618,
china_shanghai_radisson_hotel_shanghai_new_world,radisson hotel shanghai new world,http://www.tripadvisor.com/ShowUserReviews-g308272-d575893-r49376663-Radisson_Hotel_Shanghai_New_World-Shanghai.html,no.88 nanjing road west  huangpu district ,shanghai,-1,China,200003,-1,-1,135,4.384615384615385,4.269230769230769,4.153846153846154,4.711538461538462,4.009615384615385,0.0,4.305769230769232,
china_shanghai_hyatt_on_the_bund,hyatt on the bund,http://www.tripadvisor.com/ShowUserReviews-g308272-d650265-r50313766-Hyatt_on_the_Bund-Shanghai.html,199 huangpu road,shanghai,-1,China,200080,-1,-1,50,4.787234042553192,4.51063829787234,4.51063829787234,3.574468085106383,4.0,0.0,4.276595744680851,
china_shanghai_urbn_hotel,urbn hotel,http://www.tripadvisor.com/ShowUserReviews-g308272-d814849-r49230654-URBN_Hotel-Shanghai.html,no.183 jiaozhou road  jing'an district,shanghai,-1,China,200040,-1,-1,54,4.604166666666667,4.541666666666667,4.458333333333333,4.25,4.229166666666667,0.0,4.416666666666667,
china_shanghai_howard_johnson_huaihai_hotel,howard johnson huaihai hotel,http://www.tripadvisor.com/ShowUserReviews-g308272-d897176-r48243412-Howard_Johnson_Huaihai_Hotel-Shanghai.html,no.1 fenyang road  xuhui district,shanghai,-1,China,200031,-1,-1,14,4.857142857142857,4.571428571428571,4.571428571428571,4.642857142857143,4.5,0.0,4.628571428571428,
china_shanghai_renaissance_shanghai_yuyuan_hotel,renaissance shanghai yuyuan hotel,http://www.tripadvisor.com/ShowUserReviews-g308272-d657874-r50538672-Renaissance_Shanghai_Yuyuan_Hotel-Shanghai.html,no.159 henan south road,shanghai,-1,China,200010,-1,-1,54,4.755102040816326,4.591836734693878,4.346938775510204,3.673469387755102,4.142857142857143,0.0,4.302040816326531,
china_shanghai_the_westin_bund_center,the westin bund center,http://www.tripadvisor.com/ShowUserReviews-g308272-d301757-r50406985-The_Westin_Bund_Center-Shanghai.html,no.88 henan central road  bund center  huangpu district,shanghai,-1,China,200002,-1,-1,131,4.629213483146067,4.46067415730337,4.269662921348314,4.292134831460674,3.865168539325843,0.0,4.303370786516854,
china_shanghai_the_longemont_shanghai,the longemont shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d588816-r48245349-The_Longemont_Shanghai-Shanghai.html,no.1116 yan'an west road  changning district,shanghai,-1,China,200052,-1,-1,50,4.318181818181818,4.295454545454546,4.090909090909091,3.340909090909091,4.295454545454546,0.0,4.068181818181818,
china_shanghai_park_hyatt_shanghai,park hyatt shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d1158822-r50299430-Park_Hyatt_Shanghai-Shanghai.html,no.100 century avenue  pudong new district,shanghai,-1,China,200120,-1,-1,28,4.833333333333333,4.777777777777778,4.5,4.055555555555555,4.055555555555555,0.0,4.444444444444444,
china_shanghai_intercontinental_shanghai_pudong,intercontinental shanghai pudong,http://www.tripadvisor.com/ShowUserReviews-g308272-d307504-r49985014-InterContinental_Shanghai_Pudong-Shanghai.html,no.777 zhangyang road  pudong district,shanghai,-1,China,200120,-1,-1,49,4.372093023255814,4.232558139534884,4.069767441860465,3.744186046511628,3.86046511627907,0.0,4.055813953488372,
china_shanghai_88_xintiandi_executive_residence,88 xintiandi executive residence,http://www.tripadvisor.com/ShowUserReviews-g308272-d308217-r50004485-88_Xintiandi_Executive_Residence-Shanghai.html,no.380 huangpi south road,shanghai,-1,China,200021,-1,-1,24,4.933333333333334,4.933333333333334,4.666666666666667,4.933333333333334,4.266666666666667,0.0,4.746666666666667,
china_shanghai_holiday_inn_express_wujiaochang,holiday inn express wujiaochang,http://www.tripadvisor.com/ShowUserReviews-g308272-d875083-r50485365-Holiday_Inn_Express_Wujiaochang-Shanghai.html,no.1729 huang xing road,shanghai,-1,China,200433,-1,-1,6,4.666666666666667,4.5,4.0,3.5,5.0,0.0,4.333333333333334,
china_shanghai_portman_ritz_carlton_shanghai,portman ritz carlton shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d302253-r50308128-Portman_Ritz_Carlton_Shanghai-Shanghai.html,no.1376 nanjing west road  jing'an district,shanghai,-1,China,200040,-1,-1,95,4.554054054054054,4.27027027027027,4.094594594594595,4.243243243243243,3.8783783783783785,0.0,4.208108108108108,
china_shanghai_okura_garden_hotel_shanghai,okura garden hotel shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d301722-r46847527-Okura_Garden_Hotel_Shanghai-Shanghai.html,no.58 maoming south road,shanghai,-1,China,200020,-1,-1,41,4.472222222222222,3.9166666666666665,4.194444444444445,4.361111111111111,3.5277777777777777,0.0,4.094444444444444,
china_shanghai_holiday_inn_vista_shanghai,holiday inn vista shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d307426-r49330815-Holiday_Inn_Vista_Shanghai-Shanghai.html,no.700 chang shou road,shanghai,-1,China,200060,-1,-1,46,4.3125,4.3125,3.9375,3.28125,4.0625,0.0,3.98125,
china_shanghai_new_harbour_serviced_apartments,new harbour serviced apartments,http://www.tripadvisor.com/ShowUserReviews-g308272-d501436-r49750120-New_Harbour_Serviced_Apartments-Shanghai.html,no.88 yongshou road  huangpu district,shanghai,-1,China,200021,-1,-1,106,4.085365853658536,3.902439024390244,3.5853658536585367,4.353658536585366,4.365853658536586,0.0,4.058536585365854,
china_shanghai_pudi_boutique_hotel,pudi boutique hotel,http://www.tripadvisor.com/ShowUserReviews-g308272-d618936-r47745162-Pudi_Boutique_Hotel-Shanghai.html,no.99 yandang road,shanghai,-1,China,200020,-1,-1,28,4.615384615384615,4.576923076923077,4.346153846153846,4.423076923076923,4.1923076923076925,0.0,4.430769230769231,
china_shanghai_four_seasons_hotel_shanghai,four seasons hotel shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d301896-r49868572-Four_Seasons_Hotel_Shanghai-Shanghai.html,no.500 weihai road,shanghai,-1,China,200041,-1,-1,76,4.813953488372093,4.162790697674419,4.372093023255814,4.093023255813954,3.883720930232558,0.0,4.265116279069767,
china_shanghai_sheraton_shanghai_hotel_residences_pudong,sheraton shanghai hotel residences pudong,http://www.tripadvisor.com/ShowUserReviews-g308272-d648151-r50384757-Sheraton_Shanghai_Hotel_Residences_Pudong-Shanghai.html,no.38 pujian road  pudong shanghai,shanghai,-1,China,200127,-1,-1,32,4.678571428571429,4.464285714285714,4.0,3.1785714285714284,3.8214285714285716,0.0,4.0285714285714285,
china_shanghai_gallery_suites,gallery suites,http://www.tripadvisor.com/ShowUserReviews-g308272-d1443118-r49783254-Gallery_Suites-Shanghai.html,no.525 hengshan road,shanghai,-1,China,200030,-1,-1,7,4.714285714285714,4.428571428571429,4.428571428571429,4.571428571428571,4.571428571428571,0.0,4.542857142857143,
china_shanghai_millennium_hongqiao_hotel_shanghai,millennium hongqiao hotel shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d613796-r50127705-Millennium_Hongqiao_Hotel_Shanghai-Shanghai.html,no 2588 yan an west road,shanghai,-1,China,201103,-1,-1,21,4.7,4.5,4.25,3.15,4.25,0.0,4.17,
china_shanghai_san_want_hotel,san want hotel,http://www.tripadvisor.com/ShowUserReviews-g308272-d1159688-r50034973-San_Want_Hotel-Shanghai.html,no.650 yishan road  xuhui district ,shanghai,-1,China,201103,-1,-1,6,3.5,3.6666666666666665,3.8333333333333335,2.0,3.8333333333333335,0.0,3.366666666666667,
china_shanghai_pullman_shanghai_skyway_hotel,pullman shanghai skyway hotel,http://www.tripadvisor.com/ShowUserReviews-g308272-d630096-r48481633-Pullman_Shanghai_Skyway_Hotel-Shanghai.html,no.15 dapu road  luwan district,shanghai,-1,China,200023,-1,-1,25,4.666666666666667,4.333333333333333,4.166666666666667,4.166666666666667,4.083333333333333,0.0,4.283333333333333,
china_shanghai_peninsula_shanghai,peninsula shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d1461776-r50390112-Peninsula_Shanghai-Shanghai.html,no.32 zhongshan east first road,shanghai,-1,China,200002,-1,-1,7,4.6,4.4,2.8,3.8,3.0,0.0,3.72,
china_shanghai_hilton_shanghai,hilton shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d300597-r49291141-Hilton_Shanghai-Shanghai.html,no.250 huashan road  jing'an district,shanghai,-1,China,200040,-1,-1,96,4.325581395348837,3.813953488372093,4.162790697674419,3.953488372093023,3.7209302325581395,0.0,3.995348837209302,
china_shanghai_sofitel_shanghai_hyland,sofitel shanghai hyland,http://www.tripadvisor.com/ShowUserReviews-g308272-d299549-r50486211-Sofitel_Shanghai_Hyland-Shanghai.html,no.505 nanjing east road  huangpu district,shanghai,-1,China,200001,-1,-1,125,4.3052631578947365,4.0,4.094736842105263,4.705263157894737,3.8526315789473684,0.0,4.191578947368421,
china_shanghai_asset_hotel_shanghai,asset hotel shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d607462-r50261475-Asset_Hotel_Shanghai-Shanghai.html,no.590 wanping south road  xuhui district,shanghai,-1,China,200030,-1,-1,51,4.061224489795919,3.938775510204082,4.224489795918367,3.4489795918367347,4.510204081632653,0.0,4.036734693877551,
china_shanghai_central_hotel_shanghai,central hotel shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d302998-r50204201-Central_Hotel_Shanghai-Shanghai.html,no.555 jiujiang road,shanghai,-1,China,200001,-1,-1,58,4.4,4.088888888888889,3.911111111111111,4.822222222222222,4.044444444444444,0.0,4.253333333333333,
china_shanghai_howard_johnson_plaza_hotel_shanghai,howard johnson plaza hotel shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d301027-r48958536-Howard_Johnson_Plaza_Hotel_Shanghai-Shanghai.html,no.595 jiujiang road,shanghai,-1,China,200001,-1,-1,37,4.391304347826087,4.130434782608695,4.043478260869565,4.6521739130434785,4.043478260869565,0.0,4.252173913043478,
china_shanghai_howard_johnson_business_club_hotel_shanghai,howard johnson business club hotel shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d1235848-r44912224-Howard_Johnson_Business_Club_Hotel_Shanghai-Shanghai.html,no.118 shimen yi road  jing'an district,shanghai,-1,China,200041,-1,-1,8,4.5,4.125,3.625,3.75,4.125,0.0,4.025,
china_shanghai_marriott_executive_apartments_pudong_shanghai,marriott executive apartments pudong shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d621877-r35642199-Marriott_Executive_Apartments_Pudong_Shanghai-Shanghai.html,no.506 shang cheng road  pudong,shanghai,-1,China,200120,-1,-1,4,5.0,5.0,4.75,4.75,4.25,0.0,4.75,
china_shanghai_renaissance_shanghai_pudong,renaissance shanghai pudong,http://www.tripadvisor.com/ShowUserReviews-g308272-d299748-r49456149-Renaissance_Shanghai_Pudong-Shanghai.html,no.100 changliu road  pudong new district,shanghai,-1,China,200134,-1,-1,40,4.708333333333333,4.5,4.291666666666667,3.2916666666666665,4.083333333333333,0.0,4.175,
china_shanghai_citadines_apart_hotel_jinqiao,citadines apart hotel jinqiao,http://www.tripadvisor.com/ShowUserReviews-g308272-d630989-r49159404-Citadines_Apart_Hotel_Jinqiao-Shanghai.html,no.55 beijing west road  huangpu district,shanghai,-1,China,200003,-1,-1,27,4.0,3.909090909090909,3.5,4.318181818181818,4.181818181818182,0.0,3.9818181818181815,
china_shanghai_hotel_carolina,hotel carolina,http://www.tripadvisor.com/ShowUserReviews-g308272-d754374-r50261857-Hotel_Carolina-Shanghai.html,no.643 xinhua road  changning district,shanghai,-1,China,200052,-1,-1,5,4.75,4.5,4.75,3.75,4.75,0.0,4.5,
